,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.3165,2.8447,0.1600,1.2591,0.0249
r_e,10.7564,0.3084,3.8401,7.5044,6.0368
n,2.2612,0.1901,2.3372,1.3874,3.9068
x_0,32.1932,40.2887,44.0660,60.9952,65.9751
