,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0220,0.1263,0.0888,0.0390,0.1008
r_e error,0.8609,0.5717,1.1807,1.2916,1.2551
n error,0.0898,0.3410,0.2795,0.0927,0.3186
x_0 error,0.1040,1.2496,1.9522,0.3870,1.4161
