,SNR,Signal,Noise
Spettro_1,21.422,1.254,0.059
Spettro_2,6.378,0.400,0.063
Spettro_3,19.766,1.289,0.065
Spettro_4,35.739,2.568,0.072
Spettro_5,63.948,6.052,0.095
Spettro_6,193.127,11.106,0.058
Spettro_7,383.732,37.501,0.098
Spettro_8,1179.869,144.877,0.123
Spettro_9,561.123,41.878,0.075
Spettro_10,235.336,22.416,0.095
Spettro_11,100.084,9.086,0.091
Spettro_12,44.639,4.805,0.108
Spettro_13,78.498,5.187,0.066
Spettro_14,85.905,5.015,0.058
Spettro_15,75.891,5.118,0.067
Spettro_16,278.565,12.220,0.044
Spettro_17,135.500,15.057,0.111
Spettro_18,93.406,4.698,0.050
Spettro_19,22.373,1.677,0.075
Spettro_20,9.085,0.484,0.053
