,SNR,Signal,Noise
Spettro_1,19.852,0.797,0.040
Spettro_2,4.484,0.267,0.060
Spettro_3,17.576,0.875,0.050
Spettro_4,25.098,1.894,0.075
Spettro_5,41.531,3.605,0.087
Spettro_6,104.961,5.907,0.056
Spettro_7,175.953,15.130,0.086
Spettro_8,301.693,39.405,0.131
Spettro_9,142.906,14.659,0.103
Spettro_10,95.506,10.220,0.107
Spettro_11,50.685,5.169,0.102
Spettro_12,46.835,3.048,0.065
Spettro_13,28.279,2.688,0.095
Spettro_14,32.230,3.117,0.097
Spettro_15,45.676,2.756,0.060
Spettro_16,93.850,5.656,0.060
Spettro_17,60.172,5.155,0.086
Spettro_18,34.839,2.387,0.069
Spettro_19,13.821,1.084,0.078
Spettro_20,6.473,0.318,0.049
