,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_8,Spectrum_9,Spectrum_10,Spectrum_11,Spectrum_12,Spectrum_13,Spectrum_14,Spectrum_15,Spectrum_16,Spectrum_17,Spectrum_18,Spectrum_19,Spectrum_20
Continuum_1,0.037,0.048,0.074,0.104,0.178,0.381,0.647,3.841,0.727,1.699,0.738,0.415,0.278,0.290,0.268,0.399,0.973,0.063,0.024,0.012
Continuum_2,0.095,0.102,0.135,0.161,0.220,0.347,0.457,1.435,0.581,1.423,0.686,0.427,0.295,0.284,0.283,0.317,0.794,0.105,0.083,0.064
Continuum_3,0.091,0.100,0.131,0.157,0.209,0.309,0.382,0.943,0.476,1.248,0.607,0.395,0.273,0.251,0.252,0.257,0.633,0.098,0.083,0.061
