,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_8,Spectrum_9,Spectrum_10,Spectrum_11,Spectrum_12,Spectrum_13,Spectrum_14,Spectrum_15,Spectrum_16,Spectrum_17,Spectrum_18,Spectrum_19,Spectrum_20
Continuum_1,0.028,0.028,0.027,0.028,0.030,0.037,0.070,0.540,0.065,0.063,0.047,0.035,0.031,0.034,0.031,0.040,0.063,0.026,0.024,0.024
Continuum_2,0.020,0.019,0.018,0.019,0.022,0.027,0.034,0.186,0.038,0.065,0.036,0.026,0.025,0.026,0.024,0.028,0.051,0.020,0.022,0.017
Continuum_3,0.017,0.017,0.016,0.015,0.018,0.020,0.024,0.062,0.028,0.047,0.027,0.022,0.020,0.019,0.019,0.018,0.033,0.016,0.015,0.014
