,SNR,Signal,Noise
Spettro_1,2.048,0.203,0.099
Spettro_2,0.267,0.028,0.106
Spettro_3,1.472,0.184,0.125
Spettro_4,3.287,0.395,0.120
Spettro_5,4.272,0.368,0.086
Spettro_6,8.412,0.855,0.102
Spettro_7,25.483,3.158,0.124
Spettro_8,53.087,19.217,0.362
Spettro_9,21.039,3.352,0.159
Spettro_10,7.974,1.933,0.242
Spettro_11,4.380,0.816,0.186
Spettro_12,2.389,0.281,0.118
Spettro_13,4.830,0.537,0.111
Spettro_14,2.423,0.285,0.118
Spettro_15,4.713,0.537,0.114
Spettro_16,8.974,0.970,0.108
Spettro_17,3.334,0.609,0.183
Spettro_18,3.267,0.272,0.083
Spettro_19,-0.379,-0.037,0.097
Spettro_20,0.393,0.043,0.108
