,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_8,Spectrum_9,Spectrum_10,Spectrum_11,Spectrum_12,Spectrum_13,Spectrum_14,Spectrum_15,Spectrum_16,Spectrum_17,Spectrum_18,Spectrum_19,Spectrum_20
Continuum_1,1.290,1.699,2.757,3.744,5.839,10.310,9.225,7.113,11.221,26.840,15.853,11.958,9.039,8.555,8.514,9.918,15.438,2.449,1.004,0.528
Continuum_2,4.795,5.304,7.373,8.692,10.226,12.746,13.479,7.709,15.111,21.954,18.940,16.469,11.916,10.843,11.988,11.326,15.661,5.177,3.704,3.714
Continuum_3,5.267,6.026,8.276,10.191,11.354,15.802,16.117,15.237,17.047,26.491,22.615,17.840,13.786,12.878,13.218,14.335,19.036,6.112,5.437,4.225
