,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,0.015,0.041,0.041,0.156,0.069,0.066,0.026
Continuum_2,0.014,0.035,0.036,0.118,0.067,0.057,0.025
Continuum_3,0.012,0.030,0.032,0.095,0.062,0.049,0.022
