Name,Flux,Error_flux
Hbeta,0.08271363117905219,0.007756497867957262
Halpha,0.33058067527220514,0.008075748573499887
[SII]6716,0.1235384369942002,0.006359830633146829
[SII]6731,0.08952444622303371,0.007179355766563573
HeII4687,0.0,0.00519164454287646
HeI5876,0.02025564623507753,0.007419297639226718
[OIII]4959,0.021781756264374626,0.005027895866361265
[OIII]5007,0.06534526879312388,0.005027895866361265
[OI]6300,0.024127966714301938,0.005691317598982242
[OI]6364,0.00804265557143398,0.005691317598982242
[NII]6548,0.043655264278616865,0.006807585956794537
[NII]6583,0.13096579283585058,0.006807585956794537
