,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,1.550,25.912,9.755,7.239,3.227,0.615
Continuum_2,1.360,25.178,10.253,6.784,3.908,0.571
Continuum_3,1.045,21.369,10.249,6.471,3.737,0.572
