,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,0.147,1.183,0.381,0.297,0.205,1.061
Continuum_2,0.532,1.418,1.247,1.212,2.989,0.127
Continuum_3,0.238,1.014,0.862,2.494,0.691,0.741
