,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,10.540,21.901,25.597,24.350,15.745,0.580
Continuum_2,2.557,17.762,8.220,5.598,1.308,4.482
Continuum_3,4.396,21.077,11.889,2.594,5.408,0.773
