,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,58.143,2.137,1.106,0.023,0.001
Green,4.870,18.149,10.852,0.011,0.000
Purple,0.000,15.088,2.868,0.000,0.000
Orange,36.023,63.242,83.471,98.663,27.730
Chocolate,0.965,1.383,1.702,1.303,72.269
