,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,69.090,0.000,0.000,0.000,0.000
Green,27.218,76.058,57.681,6.204,9.343
Purple,0.000,0.056,0.242,0.000,0.000
Orange,3.342,23.050,40.995,92.849,9.820
Chocolate,0.350,0.835,1.082,0.947,80.836
