,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,53.651,2.347,1.031,0.026,0.001
Green,6.196,18.556,9.822,0.019,0.000
Purple,0.000,11.114,4.243,0.000,0.000
Orange,39.112,66.533,83.229,98.507,23.830
Chocolate,1.041,1.451,1.675,1.448,76.170
