,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,70.080,0.000,0.000,0.000,0.000
Green,26.371,77.125,60.011,5.578,8.787
Purple,0.000,0.024,0.376,0.000,0.000
Orange,3.210,22.044,38.547,93.575,9.127
Chocolate,0.339,0.807,1.066,0.847,82.087
