,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,66.843,1.102,0.119,0.000,0.000
Green,0.000,30.996,10.131,0.000,0.000
Purple,0.051,5.667,28.685,0.018,0.001
Orange,33.106,62.236,61.065,99.978,36.592
Chocolate,0.000,0.000,0.000,0.004,63.407
