,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,72.661,1.506,0.217,0.000,0.000
Green,0.000,30.166,19.472,0.000,0.000
Magenta,0.000,0.052,1.832,0.000,0.000
Orange,27.300,68.141,78.307,99.703,21.753
Chocolate,0.038,0.134,0.172,0.297,78.247
