,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,58.783,5.286,1.964,0.031,0.001
Green,3.926,25.575,16.696,0.030,0.000
Magenta,0.000,3.265,11.225,0.000,0.000
Orange,36.305,64.393,68.641,98.660,23.729
Chocolate,0.985,1.482,1.475,1.279,76.270
