,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,63.015,5.113,1.943,0.025,0.000
Green,3.244,27.266,17.056,0.017,0.000
Magenta,0.000,0.691,15.855,0.000,0.000
Orange,32.847,65.420,63.762,98.787,15.558
Chocolate,0.893,1.510,1.385,1.172,84.441
