,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,66.784,0.318,0.054,0.000,0.000
Green,0.040,23.165,3.736,0.000,0.000
Purple,0.000,1.327,1.259,0.000,0.000
Orange,33.127,75.029,94.727,99.657,27.186
Chocolate,0.049,0.161,0.223,0.343,72.814
