,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,65.950,0.363,0.052,0.000,0.000
Green,0.156,21.980,4.211,0.000,0.000
Purple,0.000,1.365,1.103,0.000,0.000
Orange,33.843,76.128,94.410,99.622,27.105
Chocolate,0.050,0.164,0.226,0.378,72.895
