,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,69.746,0.279,0.051,0.000,0.000
Green,0.001,24.512,2.733,0.000,0.000
Purple,0.000,1.087,1.111,0.000,0.000
Orange,30.209,73.963,95.878,99.666,28.576
Chocolate,0.044,0.159,0.226,0.334,71.424
