,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,57.550,1.710,0.252,0.000,0.000
Green,0.001,26.697,17.156,0.000,0.000
Purple,0.000,0.000,0.000,0.000,0.000
Orange,42.121,70.990,81.890,99.328,33.173
Chocolate,0.328,0.603,0.701,0.672,66.827
