,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,54.731,2.242,1.105,0.024,0.001
Green,5.884,18.407,10.761,0.013,0.000
Purple,0.000,12.918,3.886,0.000,0.000
Orange,38.363,65.012,82.565,98.630,24.408
Chocolate,1.022,1.420,1.682,1.333,75.592
