,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,70.951,1.678,0.248,0.000,0.000
Green,0.003,29.949,18.474,0.000,0.000
Magenta,0.000,0.101,1.576,0.000,0.000
Orange,29.004,68.137,79.527,99.692,26.763
Chocolate,0.041,0.135,0.175,0.308,73.237
