,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,58.676,1.548,0.256,0.000,0.000
Green,0.000,27.064,19.679,0.000,0.000
Purple,0.000,0.000,0.000,0.000,0.000
Orange,41.004,70.787,79.385,99.392,30.785
Chocolate,0.320,0.601,0.680,0.608,69.215
