,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,65.694,1.233,0.130,0.000,0.000
Green,0.000,29.374,9.692,0.000,0.000
Purple,0.054,8.022,22.490,0.022,0.001
Orange,34.252,61.371,67.688,99.973,38.735
Chocolate,0.000,0.000,0.000,0.005,61.264
