,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,67.829,0.982,0.104,0.000,0.000
Green,0.000,32.378,9.400,0.000,0.000
Purple,0.045,3.710,32.239,0.017,0.001
Orange,32.126,62.929,58.258,99.979,34.244
Chocolate,0.000,0.000,0.000,0.004,65.755
