,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.1753,0.4970,0.0465,0.1252,0.6089
r_e error,2.7040,349.6826,9.4063,9.2285,817.5238
n error,0.3212,72.8956,0.4035,0.2155,196.1347
x_0 error,0.0623,0.0183,0.0462,5.8888,0.0170
