,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.4507,0.3230,1.2595,0.0078,0.0122,0.0390,0.1559
r_e,7.8543,1.4121,3.9895,25.1252,10.5112,6.6360,44.9346
n,1.8408,1.2069,1.3720,2.3287,2.7137,2.2115,0.1749
x_0,49.7922,73.7641,116.7408,9.9068,26.6032,130.0913,83.0850
