,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e error,0.1065,0.5738,0.1719,0.0587,0.5227,0.2231,0.0619
r_e error,1.3571,1.0196,0.3382,178.2087,334.7459,29.5520,21.3273
n error,0.1825,1.7608,0.1126,5.0968,42.4848,4.3259,0.3554
x_0 error,0.0407,0.1198,0.0318,0.6545,0.0099,0.2101,15.3279
