,Component 1,Component 2,Component 3,Component 4
I_e error,0.1500,0.7427,0.0376,0.1387
r_e error,3.5814,17.9855,12.7842,1332.5353
n error,0.3603,10.1953,0.4615,1.7848
x_0 error,0.0676,0.2047,0.0491,1286.5739
