,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e error,0.0739,0.2941,0.1952,0.1104,0.1295,0.0243
r_e error,8.0264,3.0884,0.3659,8.8216,15.5790,1148.4234
n error,0.3919,1.7604,0.1338,1.8784,2.8773,3.2272
x_0 error,0.0491,0.1529,0.0384,0.7835,0.4028,0.0160
