,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,0.1423,0.1498,1.2330,0.0433,0.0352,0.0052
r_e,20.1131,2.7530,4.0271,5.0193,6.0706,277.5277
n,2.6781,1.7081,1.3919,1.1247,1.8468,2.8070
x_0,49.7949,73.8003,116.7072,10.2447,26.5671,129.5134
