,Component 1,Component 2,Component 3,Component 4
I_e,0.3192,0.0826,0.0676,0.1394
r_e,9.9906,3.1751,32.9057,70.9829
n,2.1070,2.3750,3.6424,0.1241
x_0,49.7935,73.8105,116.7501,-10.2635
