L_c_OIII,sigma_{L_c_OIII},LX,sigma_{LX},Lbol,sigma_{Lbol}
1.15e+31,1.46e+32,8.75e+31,1.14e+33,nan,nan
1.5e+35,9.58e+35,1.38e+36,9.08e+36,nan,nan
1.79e+37,1.14e+38,1.81e+38,1.19e+39,nan,nan
9.3e+37,5.93e+38,9.73e+38,6.35e+39,nan,nan
