,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.062,0.062,0.071,0.056
Continuum_2,0.038,0.040,0.045,0.035
Continuum_3,0.033,0.036,0.039,0.030
