,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.375,0.361,0.420,0.300
Continuum_2,0.365,0.350,0.409,0.322
Continuum_3,0.313,0.303,0.359,0.280
