,Component 1,Component 2,Component 3,Component 4
I_e,1.2034,1.5983,2.0088,0.7472
r_e,15.2336,50.0000,15.7451,26.7212
n,1.7913,1.0342,2.4552,1.4794
x_0,36.7601,46.7149,59.6797,72.8053
