,Component 1,Component 2,Component 3,Component 4
I_e,0.6896,0.4252,0.1858,0.0689
r_e,10.4506,6.5880,8.2399,25.7034
n,2.0623,1.3614,2.8627,1.5225
x_0,36.1477,41.9641,59.5386,72.0577
