,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,6.373,4.617,4.839,4.223,4.233
Continuum_2,9.412,5.879,6.132,4.997,6.123
Continuum_3,10.214,5.322,6.082,4.601,6.372
