,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,3.486,4.342,7.527,2.425
Continuum_2,6.086,8.522,13.363,5.687
Continuum_3,6.060,8.942,16.210,7.290
