Name,Flux,Error_flux
Hgamma,0.0,0.03571390091076393
Hbeta,0.2994318940727234,0.05113470799297033
Halpha,1.5727937653329287,0.06191938762588131
[SII]6716,0.15170564236091913,0.025285955221996233
[SII]6731,0.25988411349052754,0.023054619384484942
HeII4687,0.028380579667460073,0.013731389031974796
HeI5876,0.0,0.010959520375252014
[OIII]4959,0.07238336240074204,0.025569808499575283
[OIII]5007,0.21715008720222612,0.025569808499575283
[OI]6300,0.016170211650464637,0.02249613319211093
[OI]6364,0.0053900705501548785,0.02249613319211093
[NII]6548,0.2104802935909222,0.025139805747226466
[NII]6583,0.6314408807727666,0.025139805747226466
