,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_8,Spectrum_9,Spectrum_10,Spectrum_11,Spectrum_12,Spectrum_13,Spectrum_14,Spectrum_15,Spectrum_16,Spectrum_17,Spectrum_18,Spectrum_19,Spectrum_20
Continuum_1,-0.032,-0.028,-0.023,-0.008,0.014,0.047,0.145,0.286,0.143,0.148,0.157,0.481,0.363,0.144,0.123,0.068,0.008,0.002,-0.008,-0.023
Continuum_2,0.030,0.032,0.039,0.049,0.067,0.095,0.163,0.269,0.176,0.183,0.200,0.500,0.426,0.194,0.166,0.116,0.065,0.057,0.044,0.036
Continuum_3,0.016,0.020,0.025,0.032,0.048,0.069,0.121,0.217,0.144,0.154,0.173,0.450,0.406,0.170,0.142,0.096,0.051,0.042,0.030,0.023
