Name,Flux,Error_flux
Hgamma,0.0,0.14598782443987743
Hbeta,0.10368220150480188,0.08566079889166972
Halpha,0.17093113150072067,0.05860154810471059
[SII]6716,0.0,0.03319020356194327
[SII]6731,0.16348483378132816,0.05344416307207387
HeII4687,0.0,0.04823658251345679
HeI5876,0.17081345407356177,0.0639707800223436
[OIII]4959,0.09187791707987034,0.11827106843150516
[OIII]5007,0.275633751239611,0.11827106843150516
[OI]6300,0.06247753289177432,0.06617808603216332
[OI]6364,0.020825844297258107,0.06617808603216332
[NII]6548,0.0,0.054935484343441726
[NII]6583,0.0,0.054935484343441726
