,SNR,Signal,Noise
Spettro_1,0.142,0.017,0.121
Spettro_2,-0.904,-0.108,0.119
Spettro_3,0.010,0.000,0.045
Spettro_4,2.621,0.221,0.084
Spettro_5,1.491,0.163,0.109
Spettro_6,6.305,0.515,0.082
Spettro_7,30.094,2.723,0.090
Spettro_8,38.330,4.574,0.119
Spettro_9,14.502,1.557,0.107
Spettro_10,8.269,0.627,0.076
Spettro_11,1.185,0.126,0.107
Spettro_12,4.854,0.715,0.147
Spettro_13,3.013,0.377,0.125
Spettro_14,1.682,0.275,0.164
Spettro_15,-0.351,-0.037,0.106
Spettro_16,-0.417,-0.061,0.147
Spettro_17,0.033,0.004,0.111
Spettro_18,-0.979,-0.114,0.116
Spettro_19,0.230,0.026,0.113
Spettro_20,0.604,0.061,0.100
