,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_8,Spectrum_9,Spectrum_10,Spectrum_11,Spectrum_12,Spectrum_13,Spectrum_14,Spectrum_15,Spectrum_16,Spectrum_17,Spectrum_18,Spectrum_19,Spectrum_20
Continuum_1,0.037,0.034,0.036,0.037,0.039,0.033,0.037,0.040,0.039,0.041,0.038,0.050,0.045,0.038,0.035,0.035,0.033,0.035,0.036,0.035
Continuum_2,0.020,0.022,0.020,0.021,0.022,0.022,0.024,0.026,0.023,0.022,0.023,0.031,0.027,0.023,0.023,0.022,0.020,0.021,0.020,0.020
Continuum_3,0.013,0.013,0.013,0.014,0.014,0.014,0.017,0.020,0.019,0.018,0.017,0.022,0.020,0.016,0.016,0.015,0.014,0.014,0.014,0.014
