,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.044,0.043,0.067,0.041
Continuum_2,0.031,0.026,0.042,0.026
Continuum_3,0.024,0.022,0.031,0.017
