,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.0320,0.0261,0.0687,0.0048,3.9843
r_e,1.1742,49.1467,19.9139,8.4012,0.0081
n,3.8934,1.7492,0.9788,2.4447,8.9836
x_0,30.1740,45.8239,60.2121,78.9946,99.5748
