,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.0046,0.0518,0.1335,0.0289,0.8256
r_e,41.7605,10.8527,9.4186,19.6938,0.0286
n,3.5696,1.7595,0.8470,1.0355,5.9606
x_0,30.1740,44.5045,59.3674,76.7705,99.4303
