Name,Flux,Error flux
Hgamma,1.0347100701016672,0.10354558543158543
Hbeta,2.6138120808788616,0.22655605089933933
Halpha,11.912743871198062,0.17351382890082404
[SII]6716,1.7295111547738409,0.0749757401313208
[SII]6731,1.3706922890829312,0.05086277812959745
HeII4687,0.003820778002158087,0.010977909692373384
HeI5876,0.3498188356261293,0.019593463411745497
[OIII]5007_d,2.5574510184882637,0.11551001865208668
[OI]6300_d,0.3044321583526388,0.026035328329948336
[NII]6583_d,4.630859472575845,0.10108620266091246
