,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0131,0.0109,0.0375,0.0246,0.0650
r_e error,1.6439,49.4077,1.7140,1.1976,0.5660
n error,0.1038,1.0019,0.0985,0.1138,0.3891
x_0 error,0.0948,0.3543,0.4307,0.1149,0.2557
