,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.3788,0.9681,0.7670,0.7061,1.3856
r_e error,6.5694,6.2654,15.8392,7.7894,6.7157
n error,0.2623,0.1219,0.6178,0.4865,1.0429
x_0 error,0.1388,1.4984,0.1554,0.1193,0.2062
