,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.9469,1.0000,0.8263,1.0000,1.0000
r_e,15.8864,14.1877,13.6940,13.8123,6.7021
n,1.5496,0.1000,1.4828,2.6457,2.2422
x_0,32.5945,38.5280,43.0206,60.5877,63.3403
