,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.2514,0.0791,23.1612,0.4446,17.7703
r_e error,0.2641,391.6029,1.1652,0.2273,6.5701
n error,0.0863,2.2286,0.3528,0.0581,0.1547
x_0 error,0.0296,385.2724,0.1034,0.0551,5.0647
