,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.1142,144.9759,0.5393,0.3120,0.1282
r_e error,0.4748,11.2500,1.1924,0.3473,5.0569
n error,0.1453,3.1781,0.5712,0.0540,0.6927
x_0 error,0.0117,0.1723,0.2354,0.0508,0.1101
