,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e error,0.6784,3.5684,1.1614,0.7777,1.2525,876.9790
r_e error,12.8947,103.1844,0.9832,3.4521,12.0214,587.0519
n error,0.8927,7.3210,0.7594,0.1470,0.6388,6301.6290
x_0 error,0.1209,0.0010,0.3288,4.9710,22.6440,2.1129
