,Component 1,Component 2,Component 3,Component 4
I_e error,1.0285,1.2501,0.2574,2636350.2352
r_e error,0.3989,1.1327,3.4606,5900.0883
n error,0.2422,0.3468,0.0231,452620.0003
x_0 error,0.1891,0.0710,0.5392,3.5837
