,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,0.5370,0.4895,1.2606,1.1757,1.0629,0.2543
r_e,11.1352,20.8501,2.2519,19.5975,9.6812,0.3957
n,1.9239,3.2307,0.4616,0.1855,0.3316,5.1327
x_0,19.2195,67.3368,47.6880,27.4149,81.2385,71.0536
