,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,4.3263,0.0364,0.6810,2.0551,0.3505,0.1508,0.1607
r_e,2.7094,163.5476,4.8102,5.6109,8.4859,56.7642,15.4211
n,0.4320,2.6699,0.9901,2.2340,0.0440,2.0948,1.5742
x_0,19.6313,12.5428,47.4481,67.2873,83.8920,70.5785,32.3002
