,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.048,0.090,0.340,0.323
Continuum_2,0.042,0.083,0.261,0.263
Continuum_3,0.034,0.071,0.201,0.214
