,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.220,0.215,0.260,0.419
Continuum_2,0.177,0.185,0.193,0.359
Continuum_3,0.149,0.167,0.157,0.306
